Crop,State,Area_ha,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Yield_t_per_ha,Total_Fertilizer_kg,Total_Pesticide_kg,Total_Yield_t,Temperature_C
pomegranate,Rajasthan,3.11,202.87,1.126,15.478,630.93,3.502,48.137,20.57
watermelon,Delhi,0.492,73.45,0.919,14.653,36.14,0.452,7.209,31.46
kidneybeans,Odisha,1.32,40.71,0.27,1.212,53.74,0.356,1.6,21.5
mungbean,Arunachal Pradesh,0.387,45.4,0.191,0.78,17.57,0.074,0.302,22.4
muskmelon,Manipur,0.389,142.54,0.52,8.197,55.45,0.202,3.189,20.3
watermelon,Madhya Pradesh,0.859,142.15,0.381,22.72,122.11,0.327,19.516,29.51
kidneybeans,Andaman and Nicobar Islands,1.147,52.23,0.269,1.679,59.91,0.309,1.926,23.16
muskmelon,Puducherry,3.89,130.12,0.358,24.909,506.17,1.393,96.896,30.41
mango,Arunachal Pradesh,1.024,186.64,0.836,14.433,191.12,0.856,14.779,26.26
rice,Goa,1.215,111.22,0.716,2.665,135.13,0.87,3.238,30.88
blackgram,Jammu and Kashmir,3.084,27.54,0.283,1.116,84.93,0.873,3.442,28.83
chickpea,Telangana,2.447,50.49,0.207,1.627,123.55,0.507,3.981,10.72
banana,Delhi,0.814,479.56,0.626,36.296,390.36,0.51,29.545,32.4
blackgram,Madhya Pradesh,1.349,23.03,0.216,0.824,31.07,0.291,1.112,24.29
pigeonpeas,Sikkim,0.697,38.3,0.319,1.039,26.7,0.222,0.724,29.26
papaya,Assam,2.793,263.16,0.799,32.923,735.01,2.232,91.954,27.74
pigeonpeas,Delhi,0.781,58.05,0.465,1.853,45.34,0.363,1.447,28.36
mungbean,Arunachal Pradesh,1.427,31.34,0.317,1.259,44.72,0.452,1.797,22.9
coconut,West Bengal,1.041,482.36,0.782,4.921,502.14,0.814,5.123,26.55
cotton,Himachal Pradesh,1.016,138.56,2.496,1.796,140.78,2.536,1.825,22.79
grapes,Mizoram,4.694,169.93,1.008,20.161,797.65,4.732,94.636,21.87
apple,Tripura,1.051,159.29,0.659,27.31,167.41,0.693,28.703,14.56
lentil,Karnataka,2.144,33.5,0.158,0.954,71.82,0.339,2.045,23.12
banana,Maharashtra,1.71,396.73,1.439,39.261,678.41,2.461,67.136,26.67
jute,Chandigarh,1.611,118.1,0.969,2.849,190.26,1.561,4.59,26.89
apple,Chhattisgarh,0.503,285.1,1.144,11.843,143.41,0.575,5.957,17.81
pomegranate,Assam,0.909,267.93,0.698,11.156,243.55,0.634,10.141,20.2
apple,Delhi,2.432,239.49,0.868,20.038,582.44,2.111,48.732,13.81
mungbean,Assam,2.919,41.12,0.365,0.751,120.03,1.065,2.192,22.6
muskmelon,Mizoram,0.432,116.18,0.922,19.287,50.19,0.398,8.332,22.01
coffee,Mizoram,3.356,182.21,1.026,1.612,611.5,3.443,5.41,18.83
coffee,Uttarakhand,5.059,112.2,0.532,1.416,567.62,2.691,7.164,22.33
pigeonpeas,Tripura,0.338,39.0,0.339,1.719,13.18,0.115,0.581,27.2
jute,Madhya Pradesh,6.987,156.6,0.664,2.624,1094.16,4.639,18.334,23.6
kidneybeans,Jharkhand,2.602,41.74,0.356,1.656,108.61,0.926,4.309,24.18
banana,Jammu and Kashmir,0.864,376.48,1.495,34.477,325.28,1.292,29.788,31.72
maize,Bihar,0.513,110.08,0.577,3.815,56.47,0.296,1.957,23.98
jute,Arunachal Pradesh,1.027,126.31,0.723,3.539,129.72,0.743,3.635,28.84
maize,Telangana,0.499,114.71,0.335,5.327,57.24,0.167,2.658,25.21
pigeonpeas,Dadra and Nagar Haveli and Daman and Diu,0.381,53.76,0.235,1.045,20.48,0.09,0.398,24.31
mango,Himachal Pradesh,2.573,208.34,0.955,11.63,536.06,2.457,29.924,30.59
kidneybeans,Nagaland,0.475,59.27,0.171,1.8,28.15,0.081,0.855,24.66
pomegranate,Kerala,1.898,159.71,1.154,16.794,303.13,2.19,31.875,30.67
watermelon,Karnataka,1.37,144.95,0.547,16.43,198.58,0.749,22.509,20.36
blackgram,Jammu and Kashmir,5.509,51.55,0.235,1.491,283.99,1.295,8.214,26.97
maize,Andaman and Nicobar Islands,1.264,111.68,0.383,2.152,141.16,0.484,2.72,20.76
rice,Karnataka,3.309,141.81,0.398,4.408,469.25,1.317,14.586,26.86
mothbeans,Telangana,0.36,31.6,0.2,0.91,11.38,0.072,0.328,32.92
kidneybeans,Uttarakhand,0.715,30.66,0.171,1.302,21.92,0.122,0.931,24.79
mango,Sikkim,1.638,295.07,0.687,20.385,483.32,1.125,33.391,34.74
cotton,Nagaland,3.827,158.31,2.052,1.106,605.85,7.853,4.233,21.17
papaya,Goa,0.707,251.44,1.134,21.578,177.77,0.802,15.256,25.2
mothbeans,Telangana,0.539,25.2,0.336,0.68,13.58,0.181,0.367,24.62
cotton,Madhya Pradesh,1.291,156.54,1.404,1.885,202.09,1.813,2.434,26.28
mungbean,Mizoram,3.016,35.55,0.251,0.576,107.22,0.757,1.737,29.12
orange,Kerala,1.037,211.29,1.026,18.674,219.11,1.064,19.365,23.18
jute,Manipur,4.544,128.82,0.656,2.123,585.36,2.981,9.647,25.16
blackgram,Goa,5.508,44.94,0.236,0.908,247.53,1.3,5.001,29.11
mungbean,Chandigarh,0.653,46.07,0.169,0.447,30.08,0.11,0.292,22.18
coffee,Uttarakhand,3.561,153.34,1.055,1.084,546.04,3.757,3.86,22.66
banana,Andhra Pradesh,2.783,483.09,1.319,31.628,1344.44,3.671,88.021,20.04
pigeonpeas,Madhya Pradesh,0.316,57.33,0.404,1.07,18.12,0.128,0.338,20.95
papaya,Goa,0.414,249.18,0.756,36.523,103.16,0.313,15.121,31.02
apple,Jharkhand,1.093,159.35,0.973,21.234,174.17,1.063,23.209,21.52
pomegranate,Chhattisgarh,1.337,294.56,1.075,12.778,393.83,1.437,17.084,19.83
maize,Gujarat,2.082,84.94,0.58,4.604,176.85,1.208,9.586,19.25
mango,Odisha,6.167,331.32,0.757,7.737,2043.25,4.668,47.714,31.91
coconut,Uttar Pradesh,0.796,333.47,0.519,5.157,265.44,0.413,4.105,26.14
apple,Dadra and Nagar Haveli and Daman and Diu,0.315,137.67,1.001,28.252,43.37,0.315,8.899,20.02
lentil,Dadra and Nagar Haveli and Daman and Diu,0.445,27.81,0.173,0.609,12.38,0.077,0.271,20.43
jute,Punjab,2.004,142.35,0.61,3.032,285.27,1.222,6.076,28.14
mothbeans,Andhra Pradesh,0.576,28.29,0.119,1.02,16.3,0.069,0.588,28.97
lentil,Jammu and Kashmir,1.331,33.11,0.315,0.875,44.07,0.419,1.165,16.59
coconut,Madhya Pradesh,0.636,608.59,1.124,5.171,387.06,0.715,3.289,30.68
blackgram,Kerala,0.637,49.88,0.163,0.409,31.77,0.104,0.261,32.58
jute,Chhattisgarh,1.21,79.03,0.763,3.619,95.63,0.923,4.379,24.21
mungbean,Andaman and Nicobar Islands,1.987,25.4,0.128,1.153,50.47,0.254,2.291,33.55
cotton,Rajasthan,3.458,135.89,1.627,1.077,469.91,5.626,3.724,22.86
watermelon,Madhya Pradesh,0.895,89.72,0.642,13.202,80.3,0.575,11.816,30.14
apple,Chhattisgarh,3.468,272.69,0.698,24.894,945.69,2.421,86.332,21.95
grapes,Mizoram,7.248,266.15,0.718,14.05,1929.06,5.204,101.834,16.22
coconut,Delhi,2.559,613.43,0.814,9.525,1569.77,2.083,24.374,27.76
grapes,Mizoram,0.465,179.39,1.051,18.066,83.42,0.489,8.401,16.92
watermelon,Nagaland,0.38,73.47,0.281,13.965,27.92,0.107,5.307,31.84
rice,Ladakh,0.948,132.48,0.561,3.205,125.59,0.532,3.038,29.4
mango,Uttarakhand,0.54,290.94,1.027,20.363,157.11,0.555,10.996,32.88
mango,Delhi,0.907,189.2,0.895,8.627,171.6,0.812,7.825,32.39
coffee,Gujarat,0.794,157.92,0.982,1.6,125.39,0.78,1.27,18.09
pomegranate,Madhya Pradesh,3.717,214.34,1.2,21.791,796.7,4.46,80.997,31.6
banana,Uttar Pradesh,1.546,500.59,0.59,29.77,773.91,0.912,46.024,30.73
grapes,Sikkim,1.481,158.5,0.895,18.432,234.74,1.325,27.298,15.27
jute,Arunachal Pradesh,5.424,171.09,0.995,2.596,927.99,5.397,14.081,27.67
orange,Gujarat,1.599,261.91,0.829,21.437,418.79,1.326,34.278,28.03
cotton,Nagaland,0.312,159.69,1.536,1.756,49.82,0.479,0.548,25.75
mango,Kerala,2.641,287.04,0.844,9.21,758.07,2.229,24.324,29.8
papaya,Andhra Pradesh,3.44,175.71,0.734,25.828,604.44,2.525,88.848,27.43
muskmelon,Jammu and Kashmir,2.732,148.47,0.492,16.881,405.62,1.344,46.119,21.41
mothbeans,Goa,0.917,36.62,0.182,0.466,33.58,0.167,0.427,22.81
jute,Goa,0.429,163.02,0.552,3.207,69.94,0.237,1.376,29.02
chickpea,Jharkhand,2.705,31.55,0.305,1.645,85.34,0.825,4.45,19.85
mothbeans,Mizoram,0.786,22.97,0.313,0.621,18.05,0.246,0.488,23.89
pomegranate,Jharkhand,1.781,275.59,1.377,28.22,490.83,2.452,50.26,19.29
watermelon,Chandigarh,0.934,167.81,0.465,27.262,156.73,0.434,25.463,28.64
mothbeans,Tamil Nadu,1.805,31.45,0.345,1.006,56.77,0.623,1.816,32.3
cotton,Jammu and Kashmir,0.873,139.33,2.207,2.156,121.64,1.927,1.882,23.35
papaya,Andhra Pradesh,1.504,271.55,0.663,24.365,408.41,0.997,36.645,30.18
watermelon,Andaman and Nicobar Islands,5.184,118.02,0.828,14.247,611.82,4.292,73.856,28.41
mothbeans,Uttarakhand,1.216,31.15,0.405,0.402,37.88,0.492,0.489,27.21
rice,Tripura,1.934,93.5,0.596,3.594,180.83,1.153,6.951,28.55
coconut,Jharkhand,0.679,498.37,0.816,11.243,338.39,0.554,7.634,29.12
mothbeans,Manipur,2.312,21.11,0.178,1.218,48.81,0.412,2.816,30.77
mothbeans,Rajasthan,0.816,34.01,0.18,0.399,27.75,0.147,0.326,31.7
maize,Nagaland,1.269,83.24,0.454,5.102,105.63,0.576,6.474,27.44
rice,Gujarat,1.133,111.01,0.693,3.338,125.77,0.785,3.782,26.98
maize,Gujarat,0.825,95.33,0.649,2.404,78.65,0.535,1.983,22.48
coconut,Telangana,1.419,357.31,0.871,6.053,507.02,1.236,8.589,24.39
orange,Mizoram,3.674,145.69,0.854,16.241,535.27,3.138,59.669,28.99
pomegranate,Himachal Pradesh,0.395,200.72,1.319,19.157,79.28,0.521,7.567,32.47
kidneybeans,Tripura,2.58,44.01,0.404,1.31,113.55,1.042,3.38,21.12
watermelon,Andhra Pradesh,0.334,189.88,0.812,13.257,63.42,0.271,4.428,26.06
mungbean,Karnataka,1.195,31.38,0.142,0.448,37.5,0.17,0.535,28.65
blackgram,Andaman and Nicobar Islands,0.937,41.48,0.288,0.389,38.87,0.27,0.364,29.28
rice,Puducherry,0.516,92.26,0.65,4.33,47.61,0.335,2.234,27.02
rice,Nagaland,1.19,125.16,0.424,2.45,148.94,0.505,2.916,22.54
cotton,Gujarat,3.447,114.43,1.258,2.158,394.44,4.336,7.439,24.04
cotton,Nagaland,1.28,143.49,2.657,1.65,183.67,3.401,2.112,20.87
pigeonpeas,Dadra and Nagar Haveli and Daman and Diu,1.658,35.71,0.421,1.628,59.21,0.698,2.699,25.72
orange,Bihar,0.481,187.78,0.816,28.302,90.32,0.392,13.613,20.38
blackgram,Maharashtra,1.105,27.27,0.255,0.812,30.13,0.282,0.897,26.59
lentil,Odisha,1.369,33.66,0.213,1.341,46.08,0.292,1.836,12.46
banana,Tamil Nadu,2.519,361.21,0.801,52.138,909.89,2.018,131.336,34.36
mango,Manipur,1.368,297.19,0.974,9.664,406.56,1.332,13.22,29.85
maize,Andaman and Nicobar Islands,1.18,97.96,0.583,5.011,115.59,0.688,5.913,23.97
apple,Assam,0.942,127.3,1.09,8.502,119.92,1.027,8.009,18.97
pomegranate,Uttar Pradesh,0.554,278.32,0.881,20.176,154.19,0.488,11.178,26.18
mango,Tamil Nadu,2.472,154.48,0.713,17.868,381.87,1.763,44.17,29.23
cotton,Karnataka,0.567,171.51,2.007,1.192,97.25,1.138,0.676,20.76
mungbean,Madhya Pradesh,0.762,43.6,0.375,1.108,33.22,0.286,0.844,33.73
pigeonpeas,Chhattisgarh,4.763,34.16,0.315,0.729,162.7,1.5,3.472,27.7
chickpea,Goa,3.631,18.24,0.326,1.033,66.23,1.184,3.751,16.76
apple,Arunachal Pradesh,0.327,221.96,0.969,30.127,72.58,0.317,9.852,21.46
coffee,Himachal Pradesh,2.204,106.04,0.818,1.594,233.71,1.803,3.513,18.25
pigeonpeas,Madhya Pradesh,7.258,31.54,0.395,0.932,228.92,2.867,6.764,22.17
jute,Karnataka,0.438,104.76,1.032,2.07,45.88,0.452,0.907,29.48
jute,Kerala,3.509,91.99,0.791,4.148,322.79,2.776,14.555,22.93
jute,Nagaland,1.576,171.22,0.368,3.301,269.84,0.58,5.202,29.03
papaya,West Bengal,1.047,208.73,1.192,35.463,218.54,1.248,37.13,24.05
lentil,Madhya Pradesh,0.907,29.49,0.147,1.048,26.75,0.133,0.951,14.79
grapes,Assam,2.479,140.94,0.709,18.473,349.39,1.758,45.795,22.54
rice,Nagaland,3.028,147.15,0.408,3.68,445.57,1.235,11.143,22.1
orange,Goa,1.079,138.48,1.225,15.031,149.42,1.322,16.218,20.51
mungbean,Assam,1.079,34.91,0.114,0.712,37.67,0.123,0.768,33.99
mango,Tripura,0.732,226.43,1.019,13.729,165.75,0.746,10.05,31.75
kidneybeans,Jammu and Kashmir,1.59,29.42,0.434,1.802,46.78,0.69,2.865,28.3
grapes,Nagaland,0.633,206.62,0.958,11.346,130.79,0.606,7.182,15.67
mungbean,Himachal Pradesh,3.327,29.87,0.368,0.807,99.38,1.224,2.685,33.6
orange,Punjab,1.287,213.01,0.769,19.662,274.14,0.99,25.305,21.23
pigeonpeas,Uttarakhand,2.478,45.84,0.319,1.803,113.59,0.79,4.468,31.61
banana,Meghalaya,1.212,433.51,1.314,47.649,525.41,1.593,57.751,26.88
rice,Jammu and Kashmir,2.365,123.19,0.732,3.879,291.34,1.731,9.174,27.49
pigeonpeas,Rajasthan,0.408,33.81,0.292,1.141,13.79,0.119,0.466,28.58
pomegranate,Madhya Pradesh,3.182,200.31,0.646,29.563,637.39,2.056,94.069,23.78
coffee,Jharkhand,4.208,144.74,0.567,0.771,609.07,2.386,3.244,20.52
muskmelon,Ladakh,0.82,106.81,0.858,25.758,87.58,0.704,21.122,25.77
blackgram,West Bengal,2.72,38.99,0.128,1.011,106.05,0.348,2.75,29.28
papaya,Haryana,5.785,241.83,0.574,23.535,1398.99,3.321,136.15,31.79
papaya,Jharkhand,0.419,249.23,0.677,26.26,104.43,0.284,11.003,28.72
pomegranate,Ladakh,0.913,318.55,0.912,26.629,290.84,0.833,24.312,15.36
kidneybeans,Andaman and Nicobar Islands,0.559,38.54,0.295,1.838,21.54,0.165,1.027,27.1
chickpea,Ladakh,3.065,37.85,0.165,1.676,116.01,0.506,5.137,24.66
mungbean,Uttar Pradesh,0.368,28.39,0.134,1.274,10.45,0.049,0.469,22.95
mungbean,Mizoram,1.337,22.79,0.156,0.698,30.47,0.209,0.933,25.08
mango,Karnataka,1.558,343.68,1.095,13.34,535.45,1.706,20.784,28.32
pigeonpeas,Mizoram,1.941,47.92,0.181,1.93,93.01,0.351,3.746,27.8
muskmelon,Rajasthan,1.619,166.62,0.808,10.132,269.76,1.308,16.404,25.22
mango,Sikkim,0.733,315.92,0.677,9.313,231.57,0.496,6.826,24.04
mothbeans,Nagaland,0.888,46.64,0.318,1.016,41.42,0.282,0.902,26.71
pigeonpeas,Mizoram,0.966,62.77,0.199,1.525,60.64,0.192,1.473,29.38
muskmelon,Delhi,1.551,162.9,0.851,7.768,252.66,1.32,12.048,24.13
rice,Sikkim,0.762,125.48,0.535,3.984,95.62,0.408,3.036,26.03
pomegranate,Tamil Nadu,1.158,222.11,1.298,15.328,257.2,1.503,17.75,26.7
muskmelon,Assam,2.032,103.3,0.88,20.687,209.91,1.788,42.036,21.65
pigeonpeas,Meghalaya,0.658,35.65,0.209,0.956,23.46,0.138,0.629,24.94
apple,Meghalaya,0.831,273.67,1.208,28.752,227.42,1.004,23.893,15.62
mungbean,Tamil Nadu,0.92,21.9,0.3,1.22,20.15,0.276,1.122,32.9
rice,Karnataka,4.333,121.48,0.48,3.632,526.37,2.08,15.737,22.42
kidneybeans,Andhra Pradesh,0.327,49.15,0.296,1.613,16.07,0.097,0.527,21.04
apple,Chhattisgarh,1.089,189.84,0.482,19.933,206.74,0.525,21.707,12.85
rice,Arunachal Pradesh,1.166,135.5,0.414,4.479,157.99,0.483,5.223,23.0
mango,Tamil Nadu,0.664,208.72,1.114,19.173,138.59,0.74,12.731,30.31
papaya,Karnataka,0.487,140.43,0.712,19.732,68.39,0.347,9.609,23.81
mothbeans,Assam,0.571,37.93,0.273,0.446,21.66,0.156,0.255,24.83
cotton,Meghalaya,0.975,177.06,1.83,2.003,172.63,1.784,1.953,23.99
pomegranate,Nagaland,0.648,199.09,1.159,19.674,129.01,0.751,12.749,18.83
pigeonpeas,Dadra and Nagar Haveli and Daman and Diu,0.451,44.97,0.233,1.627,20.28,0.105,0.734,25.58
papaya,Andhra Pradesh,1.071,243.12,0.763,30.046,260.38,0.817,32.179,30.47
lentil,Uttarakhand,1.785,20.56,0.272,1.431,36.7,0.486,2.554,16.68
maize,Mizoram,2.966,110.2,0.272,4.852,326.85,0.807,14.391,29.29
chickpea,Chhattisgarh,1.92,40.91,0.142,1.696,78.55,0.273,3.256,21.54
muskmelon,Puducherry,0.403,134.67,0.293,18.318,54.27,0.118,7.382,22.43
cotton,Uttar Pradesh,0.351,124.44,1.851,1.802,43.68,0.65,0.633,26.42
kidneybeans,Himachal Pradesh,1.488,56.06,0.223,1.061,83.42,0.332,1.579,26.52
chickpea,Karnataka,0.879,40.63,0.298,0.942,35.71,0.262,0.828,11.38
mungbean,Madhya Pradesh,3.231,44.07,0.295,0.479,142.39,0.953,1.548,22.12
coffee,Delhi,1.271,192.28,0.393,1.561,244.39,0.5,1.984,21.28
coffee,Ladakh,0.928,142.83,0.687,1.177,132.55,0.638,1.092,19.71
orange,Mizoram,3.655,230.25,0.958,21.74,841.56,3.501,79.46,28.32
watermelon,Himachal Pradesh,0.916,105.5,0.87,11.351,96.64,0.797,10.398,31.7
orange,Odisha,5.002,244.56,0.91,16.999,1223.29,4.552,85.029,20.34
grapes,Arunachal Pradesh,2.01,141.66,0.721,10.605,284.74,1.449,21.316,18.35
coffee,Assam,0.5,154.25,0.468,1.819,77.12,0.234,0.91,18.19
pigeonpeas,Kerala,2.946,54.86,0.443,2.011,161.62,1.305,5.924,22.13
mango,Uttar Pradesh,2.966,143.22,0.708,15.928,424.79,2.1,47.242,28.31
apple,Kerala,0.867,214.79,0.903,10.284,186.22,0.783,8.916,21.5
mango,Meghalaya,1.183,373.36,1.198,8.733,441.68,1.417,10.331,24.03
pomegranate,Puducherry,0.607,161.74,1.471,21.903,98.18,0.893,13.295,21.47
coffee,Karnataka,2.114,170.07,0.527,0.576,359.53,1.114,1.218,20.32
pigeonpeas,Chandigarh,1.502,48.41,0.187,1.216,72.71,0.281,1.826,20.6
coffee,Ladakh,5.435,165.81,0.834,0.495,901.18,4.533,2.69,23.53
grapes,Andaman and Nicobar Islands,4.033,258.22,0.528,8.456,1041.4,2.129,34.103,20.17
cotton,Rajasthan,3.48,116.99,2.649,1.728,407.13,9.219,6.013,24.22
pomegranate,Meghalaya,1.18,165.59,0.938,14.834,195.4,1.107,17.504,28.19
papaya,Odisha,4.49,225.84,0.795,36.86,1014.02,3.57,165.501,24.03
apple,Dadra and Nagar Haveli and Daman and Diu,0.436,229.8,0.642,27.303,100.19,0.28,11.904,22.04
blackgram,Tripura,2.751,33.27,0.33,1.084,91.53,0.908,2.982,32.76
pigeonpeas,Andaman and Nicobar Islands,1.777,38.29,0.275,1.927,68.04,0.489,3.424,28.73
watermelon,Haryana,2.873,198.83,0.521,10.042,571.24,1.497,28.851,25.53
papaya,Nagaland,0.933,269.57,1.051,29.914,251.51,0.981,27.91,24.77
blackgram,Jammu and Kashmir,3.225,30.83,0.102,0.589,99.43,0.329,1.9,30.51
grapes,Jharkhand,3.256,200.81,1.019,17.06,653.84,3.318,55.547,24.99
lentil,Uttar Pradesh,3.419,23.9,0.173,1.093,81.71,0.591,3.737,16.3
rice,Kerala,1.141,152.44,0.38,3.74,173.93,0.434,4.267,23.84
coffee,Ladakh,0.616,176.88,0.546,1.338,108.96,0.336,0.824,22.02
papaya,Odisha,2.0,191.08,0.823,38.542,382.16,1.646,77.084,26.61
chickpea,Bihar,2.633,46.14,0.368,1.619,121.49,0.969,4.263,20.31
coffee,West Bengal,2.536,130.69,0.89,1.187,331.43,2.257,3.01,18.98
jute,Jharkhand,2.74,116.22,0.897,2.496,318.44,2.458,6.839,23.13
mothbeans,Rajasthan,1.74,46.26,0.397,0.781,80.49,0.691,1.359,30.0
pomegranate,Tripura,0.715,235.62,1.295,24.129,168.47,0.926,17.252,32.4
papaya,Gujarat,0.475,147.15,0.733,37.509,69.9,0.348,17.817,29.12
pigeonpeas,Meghalaya,1.074,56.69,0.382,1.758,60.89,0.41,1.888,21.76
apple,Uttarakhand,2.972,201.86,0.591,13.181,599.93,1.756,39.174,16.39
kidneybeans,Mizoram,1.762,58.79,0.369,1.098,103.59,0.65,1.935,29.7
orange,Rajasthan,0.627,209.04,0.884,23.249,131.07,0.554,14.577,21.41
mothbeans,Andhra Pradesh,3.564,32.14,0.181,1.036,114.55,0.645,3.692,34.31
rice,Jammu and Kashmir,0.52,144.04,0.441,3.08,74.9,0.229,1.602,20.98
mungbean,Assam,4.467,37.24,0.12,0.59,166.35,0.536,2.636,32.53
watermelon,Goa,0.778,165.35,0.721,23.812,128.64,0.561,18.526,27.22
pomegranate,Kerala,0.333,246.04,1.159,23.101,81.93,0.386,7.693,21.85
coconut,Manipur,2.821,307.45,1.041,9.592,867.32,2.937,27.059,31.93
coconut,Dadra and Nagar Haveli and Daman and Diu,0.455,587.84,1.102,5.608,267.47,0.501,2.552,27.78
jute,West Bengal,0.404,132.73,0.827,2.201,53.62,0.334,0.889,28.13
pomegranate,Jammu and Kashmir,1.549,257.47,1.352,12.779,398.82,2.094,19.795,23.83
kidneybeans,Sikkim,5.329,38.85,0.37,1.122,207.03,1.972,5.979,25.17
mothbeans,Assam,5.429,41.34,0.227,1.114,224.43,1.232,6.048,30.61
jute,Goa,0.38,91.49,0.642,3.922,34.77,0.244,1.49,23.38
kidneybeans,Mizoram,4.103,47.9,0.225,1.937,196.53,0.923,7.948,27.45
rice,Uttar Pradesh,3.039,116.53,0.738,3.608,354.13,2.243,10.965,20.66
lentil,Assam,1.078,24.39,0.214,1.474,26.29,0.231,1.589,15.6
papaya,Puducherry,0.566,141.88,0.983,25.932,80.3,0.556,14.678,27.86
pomegranate,Punjab,6.244,311.99,1.225,12.58,1948.07,7.649,78.55,34.57
orange,Meghalaya,0.326,164.29,0.803,29.746,53.56,0.262,9.697,24.27
chickpea,West Bengal,2.882,20.59,0.155,0.877,59.34,0.447,2.528,20.3
jute,Madhya Pradesh,0.867,109.84,0.499,3.301,95.23,0.433,2.862,27.75
pomegranate,Kerala,0.381,298.84,1.215,23.873,113.86,0.463,9.096,22.84
cotton,Chandigarh,0.874,117.48,1.016,1.094,102.68,0.888,0.956,22.98
mothbeans,Himachal Pradesh,0.896,34.87,0.234,1.018,31.24,0.21,0.912,28.29
mungbean,Rajasthan,4.427,38.59,0.255,1.246,170.84,1.129,5.516,27.66
grapes,Kerala,2.159,217.21,1.031,13.63,468.96,2.226,29.427,21.44
mungbean,Telangana,2.093,41.51,0.396,0.527,86.88,0.829,1.103,32.11
lentil,Telangana,3.792,38.22,0.331,0.648,144.93,1.255,2.457,11.52
cotton,Chandigarh,1.844,136.39,2.257,2.085,251.5,4.162,3.845,26.35
kidneybeans,Andhra Pradesh,3.614,37.6,0.154,1.353,135.89,0.557,4.89,28.03
mango,Tamil Nadu,0.7,237.58,0.688,9.331,166.31,0.482,6.532,32.67
muskmelon,Chhattisgarh,1.584,168.25,0.29,17.895,266.51,0.459,28.346,22.58
kidneybeans,Delhi,0.857,36.65,0.42,1.838,31.41,0.36,1.575,25.24
orange,Delhi,3.418,245.19,0.94,28.323,838.06,3.213,96.808,26.08
pigeonpeas,Dadra and Nagar Haveli and Daman and Diu,0.813,47.48,0.29,1.144,38.6,0.236,0.93,30.21
maize,Haryana,2.504,87.76,0.367,4.71,219.75,0.919,11.794,27.71
jute,Uttar Pradesh,2.453,110.09,0.881,2.543,270.05,2.161,6.238,23.79
coffee,Bihar,2.375,114.62,0.792,0.982,272.22,1.881,2.332,23.42
cotton,Manipur,4.506,120.96,2.673,2.151,545.05,12.045,9.692,31.74
maize,Ladakh,1.027,78.01,0.65,3.669,80.12,0.668,3.768,24.22
lentil,Jammu and Kashmir,0.675,28.35,0.122,0.774,19.14,0.082,0.522,15.92
kidneybeans,Mizoram,3.171,53.31,0.243,0.996,169.05,0.771,3.158,23.63
pomegranate,Rajasthan,0.456,204.25,0.998,28.223,93.14,0.455,12.87,15.82
papaya,Uttarakhand,0.736,280.84,1.012,39.704,206.7,0.745,29.222,26.56
rice,Tamil Nadu,0.374,169.09,0.389,4.368,63.24,0.145,1.634,26.47
pigeonpeas,Sikkim,1.418,58.78,0.442,1.725,83.35,0.627,2.446,23.55
muskmelon,Haryana,1.157,156.7,0.391,10.674,181.3,0.452,12.35,22.62
mungbean,Uttarakhand,1.008,48.13,0.188,1.162,48.52,0.19,1.171,25.18
kidneybeans,Tamil Nadu,0.501,53.79,0.145,0.915,26.95,0.073,0.458,25.98
maize,Bihar,8.869,104.92,0.362,3.528,930.54,3.211,31.29,19.57
jute,Manipur,1.168,101.89,0.89,3.131,119.01,1.04,3.657,26.09
kidneybeans,Gujarat,3.105,44.24,0.428,1.367,137.37,1.329,4.245,21.06
chickpea,Tripura,2.259,42.3,0.319,1.407,95.56,0.721,3.178,14.59
cotton,Gujarat,2.567,140.91,2.938,2.135,361.72,7.542,5.481,31.78
mothbeans,Bihar,3.036,38.75,0.1,0.519,117.64,0.304,1.576,27.58
apple,Rajasthan,4.324,256.98,0.678,20.936,1111.18,2.932,90.527,24.28
papaya,Jammu and Kashmir,0.661,244.42,0.869,33.956,161.56,0.574,22.445,31.87
pomegranate,Dadra and Nagar Haveli and Daman and Diu,1.058,265.75,0.887,14.756,281.16,0.938,15.612,23.47
cotton,Punjab,3.687,137.29,2.816,1.877,506.19,10.383,6.92,26.74
mango,Meghalaya,0.675,177.62,1.165,12.818,119.89,0.786,8.652,31.93
grapes,Dadra and Nagar Haveli and Daman and Diu,0.793,158.25,0.684,15.821,125.49,0.542,12.546,20.74
mango,Tripura,0.942,309.48,0.715,14.069,291.53,0.674,13.253,25.19
coffee,Jammu and Kashmir,2.505,154.91,0.967,1.61,388.05,2.422,4.033,22.82
coffee,Puducherry,2.449,188.4,0.734,1.054,461.39,1.798,2.581,18.7
cotton,Jammu and Kashmir,2.51,150.72,1.908,2.225,378.31,4.789,5.585,26.43
mothbeans,Jharkhand,1.077,48.14,0.27,0.558,51.85,0.291,0.601,32.72
coconut,Manipur,1.277,361.1,0.959,12.279,461.12,1.225,15.68,28.46
coconut,Kerala,0.59,432.78,1.175,8.689,255.34,0.693,5.127,28.93
coconut,Himachal Pradesh,1.658,317.34,0.751,5.59,526.15,1.245,9.268,24.57
apple,Jammu and Kashmir,0.374,166.41,0.718,10.192,62.24,0.269,3.812,20.81
orange,Sikkim,0.874,138.11,0.719,23.909,120.71,0.628,20.896,27.16
